year,metric,team,value
2016,all_time_6nations_wins,France,105.0
2016,all_time_6nations_wins,Italy,100.0
2016,points,Ireland,173.0
2016,points,England,153.0
2016,points,Wales,150.0
2016,points,Scotland,147.0
2016,points,France,105.0
2016,points,Italy,100.0
2016,points,Ireland,173.0
2016,points,England,153.0
2016,points,Wales,150.0
2016,points,Scotland,147.0
2016,points,France,105.0
2016,points,Italy,100.0
2016,ireland,Ireland,173.0
2016,ireland,England,153.0
2016,ireland,Wales,150.0
2016,ireland,Scotland,147.0
2016,ireland,France,105.0
2016,ireland,Italy,100.0
2017,all_time_6nations_wins,England,216.0
2017,all_time_6nations_wins,Scotland,170.0
2017,all_time_6nations_wins,Ireland,161.0
2017,all_time_6nations_wins,France,147.0
2017,all_time_6nations_wins,Wales,102.0
2017,all_time_6nations_wins,Italy,68.0
2017,all_time_6nations_wins,England,216.0
2017,all_time_6nations_wins,Scotland,170.0
2017,all_time_6nations_wins,Ireland,161.0
2017,all_time_6nations_wins,France,147.0
2017,all_time_6nations_wins,Wales,102.0
2017,all_time_6nations_wins,Italy,68.0
2017,points,England,216.0
2017,points,Scotland,170.0
2017,points,Ireland,161.0
2017,points,France,147.0
2017,points,Wales,102.0
2017,points,Italy,68.0
2017,points,England,216.0
2017,points,Scotland,170.0
2017,points,Ireland,161.0
2017,points,France,147.0
2017,points,Wales,102.0
2017,points,Italy,68.0
2017,england,England,216.0
2017,england,Scotland,170.0
2017,england,Ireland,161.0
2017,england,France,147.0
2017,england,Wales,102.0
2017,england,Italy,68.0
2018,all_time_6nations_wins,Ireland,212.0
2018,all_time_6nations_wins,France,168.0
2018,all_time_6nations_wins,Scotland,166.0
2018,all_time_6nations_wins,England,130.0
2018,all_time_6nations_wins,Wales,119.0
2018,all_time_6nations_wins,Italy,109.0
2018,all_time_6nations_wins,Ireland,212.0
2018,all_time_6nations_wins,France,168.0
2018,all_time_6nations_wins,Scotland,166.0
2018,all_time_6nations_wins,England,130.0
2018,all_time_6nations_wins,Wales,119.0
2018,all_time_6nations_wins,Italy,109.0
2018,points,Ireland,212.0
2018,points,France,168.0
2018,points,Scotland,166.0
2018,points,England,130.0
2018,points,Wales,119.0
2018,points,Italy,109.0
2018,points,Ireland,212.0
2018,points,France,168.0
2018,points,Scotland,166.0
2018,points,England,130.0
2018,points,Wales,119.0
2018,points,Italy,109.0
2018,ireland,Ireland,212.0
2018,ireland,France,168.0
2018,ireland,Scotland,166.0
2018,ireland,England,130.0
2018,ireland,Wales,119.0
2018,ireland,Italy,109.0
2019,all_time_6nations_wins,England,222.0
2019,all_time_6nations_wins,Scotland,153.0
2019,all_time_6nations_wins,France,120.0
2019,all_time_6nations_wins,Wales,114.0
2019,all_time_6nations_wins,Ireland,101.0
2019,all_time_6nations_wins,Italy,79.0
2019,all_time_6nations_wins,England,222.0
2019,all_time_6nations_wins,Scotland,153.0
2019,all_time_6nations_wins,France,120.0
2019,all_time_6nations_wins,Wales,114.0
2019,all_time_6nations_wins,Ireland,101.0
2019,all_time_6nations_wins,Italy,79.0
2019,points,England,222.0
2019,points,Scotland,153.0
2019,points,France,120.0
2019,points,Wales,114.0
2019,points,Ireland,101.0
2019,points,Italy,79.0
2019,points,England,222.0
2019,points,Scotland,153.0
2019,points,France,120.0
2019,points,Wales,114.0
2019,points,Ireland,101.0
2019,points,Italy,79.0
2019,england,England,222.0
2019,england,Scotland,153.0
2019,england,France,120.0
2019,england,Wales,114.0
2019,england,Ireland,101.0
2019,england,Italy,79.0
2020,all_time_6nations_wins,Ireland,17.0
2020,all_time_6nations_wins,France,17.0
2020,all_time_6nations_wins,England,14.0
2020,all_time_6nations_wins,Wales,13.0
2020,all_time_6nations_wins,Scotland,7.0
2020,all_time_6nations_wins,Italy,6.0
2020,all_time_6nations_wins,Ireland,17.0
2020,all_time_6nations_wins,France,17.0
2020,all_time_6nations_wins,England,14.0
2020,all_time_6nations_wins,Wales,13.0
2020,all_time_6nations_wins,Scotland,7.0
2020,all_time_6nations_wins,Italy,6.0
2020,try_scored,Ireland,17.0
2020,try_scored,France,17.0
2020,try_scored,England,14.0
2020,try_scored,Wales,13.0
2020,try_scored,Scotland,7.0
2020,try_scored,Italy,6.0
2020,try_scored,Ireland,17.0
2020,try_scored,France,17.0
2020,try_scored,England,14.0
2020,try_scored,Wales,13.0
2020,try_scored,Scotland,7.0
2020,try_scored,Italy,6.0
2020,ireland,Ireland,17.0
2020,ireland,France,17.0
2020,ireland,England,14.0
2020,ireland,Wales,13.0
2020,ireland,Scotland,7.0
2020,ireland,Italy,6.0
2020,carries,Wales,701.0
2020,carries,Ireland,659.0
2020,carries,Italy,602.0
2020,carries,Scotland,579.0
2020,carries,France,563.0
2020,carries,England,493.0
2020,wales,Wales,701.0
2020,wales,Ireland,659.0
2020,wales,Italy,602.0
2020,wales,Scotland,579.0
2020,wales,France,563.0
2020,wales,England,493.0
2020,offload,Wales,72.0
2020,offload,France,61.0
2020,offload,Italy,53.0
2020,offload,England,29.0
2020,offload,Ireland,27.0
2020,offload,Scotland,25.0
2020,wales,Wales,72.0
2020,wales,France,61.0
2020,wales,Italy,53.0
2020,wales,England,29.0
2020,wales,Ireland,27.0
2020,wales,Scotland,25.0
2020,try_assist,France,13.0
2020,try_assist,Ireland,11.0
2020,try_assist,Wales,10.0
2020,try_assist,England,8.0
2020,try_assist,Italy,4.0
2020,try_assist,Scotland,4.0
2020,france,France,13.0
2020,france,Ireland,11.0
2020,france,Wales,10.0
2020,france,England,8.0
2020,france,Italy,4.0
2020,france,Scotland,4.0
2020,defender_beaten,France,84.0
2020,defender_beaten,Italy,73.0
2020,defender_beaten,Scotland,72.0
2020,defender_beaten,Ireland,70.0
2020,defender_beaten,Wales,67.0
2020,defender_beaten,England,42.0
2020,france,France,84.0
2020,france,Italy,73.0
2020,france,Scotland,72.0
2020,france,Ireland,70.0
2020,france,Wales,67.0
2020,france,England,42.0
2020,missed_tackle,Italy,76.0
2020,missed_tackle,England,75.0
2020,missed_tackle,France,75.0
2020,missed_tackle,Scotland,63.0
2020,missed_tackle,Wales,62.0
2020,missed_tackle,Ireland,59.0
2020,italy,Italy,76.0
2020,italy,England,75.0
2020,italy,France,75.0
2020,italy,Scotland,63.0
2020,italy,Wales,62.0
2020,italy,Ireland,59.0
2020,lineout_steals,Ireland,7.0
2020,lineout_steals,France,6.0
2020,lineout_steals,England,5.0
2020,lineout_steals,Italy,3.0
2020,lineout_steals,Scotland,3.0
2020,lineout_steals,Wales,2.0
2020,ireland,Ireland,7.0
2020,ireland,France,6.0
2020,ireland,England,5.0
2020,ireland,Italy,3.0
2020,ireland,Scotland,3.0
2020,ireland,Wales,2.0
2020,lineout_throws_won,Italy,68.0
2020,lineout_throws_won,Wales,63.0
2020,lineout_throws_won,Ireland,56.0
2020,lineout_throws_won,England,54.0
2020,lineout_throws_won,France,54.0
2020,lineout_throws_won,Scotland,51.0
2020,italy,Italy,68.0
2020,italy,Wales,63.0
2020,italy,Ireland,56.0
2020,italy,England,54.0
2020,italy,France,54.0
2020,italy,Scotland,51.0
2020,kicks_in_play,England,187.0
2020,kicks_in_play,France,155.0
2020,kicks_in_play,Wales,148.0
2020,kicks_in_play,Scotland,123.0
2020,kicks_in_play,Italy,111.0
2020,kicks_in_play,Ireland,108.0
2020,england,England,187.0
2020,england,France,155.0
2020,england,Wales,148.0
2020,england,Scotland,123.0
2020,england,Italy,111.0
2020,england,Ireland,108.0
2020,kick_metres,England,5826.0
2020,kick_metres,France,5436.0
2020,kick_metres,Wales,4632.0
2020,kick_metres,Italy,4061.0
2020,kick_metres,Scotland,3914.0
2020,kick_metres,Ireland,2929.0
2020,england,England,5826.0
2020,england,France,5436.0
2020,england,Wales,4632.0
2020,england,Italy,4061.0
2020,england,Scotland,3914.0
2020,england,Ireland,2929.0
2020,retained_kick,England,24.0
2020,retained_kick,Wales,22.0
2020,retained_kick,France,21.0
2020,retained_kick,Scotland,18.0
2020,retained_kick,Ireland,14.0
2020,retained_kick,Italy,6.0
2020,england,England,24.0
2020,england,Wales,22.0
2020,england,France,21.0
2020,england,Scotland,18.0
2020,england,Ireland,14.0
2020,england,Italy,6.0
2020,dominant_contact,Scotland,122.0
2020,dominant_contact,Italy,96.0
2020,dominant_contact,Ireland,74.0
2020,dominant_contact,France,69.0
2020,dominant_contact,Wales,68.0
2020,dominant_contact,England,56.0
2020,scotland,Scotland,122.0
2020,scotland,Italy,96.0
2020,scotland,Ireland,74.0
2020,scotland,France,69.0
2020,scotland,Wales,68.0
2020,scotland,England,56.0
2020,dominant_tackle_contact,Italy,56.0
2020,dominant_tackle_contact,England,47.0
2020,dominant_tackle_contact,France,44.0
2020,dominant_tackle_contact,Scotland,33.0
2020,dominant_tackle_contact,Ireland,28.0
2020,dominant_tackle_contact,Wales,25.0
2020,italy,Italy,56.0
2020,italy,England,47.0
2020,italy,France,44.0
2020,italy,Scotland,33.0
2020,italy,Ireland,28.0
2020,italy,Wales,25.0
2020,total_successful_tackles,France,775.0
2020,total_successful_tackles,Wales,709.0
2020,total_successful_tackles,Italy,697.0
2020,total_successful_tackles,England,681.0
2020,total_successful_tackles,Scotland,677.0
2020,total_successful_tackles,Ireland,640.0
2020,france,France,775.0
2020,france,Wales,709.0
2020,france,Italy,697.0
2020,france,England,681.0
2020,france,Scotland,677.0
2020,france,Ireland,640.0
2020,box_kicks,England,49.0
2020,box_kicks,Wales,44.0
2020,box_kicks,France,37.0
2020,box_kicks,Ireland,33.0
2020,box_kicks,Scotland,31.0
2020,box_kicks,Italy,16.0
2020,england,England,49.0
2020,england,Wales,44.0
2020,england,France,37.0
2020,england,Ireland,33.0
2020,england,Scotland,31.0
2020,england,Italy,16.0
2020,total_turnovers_won,England,41.0
2020,total_turnovers_won,Scotland,36.0
2020,total_turnovers_won,France,35.0
2020,total_turnovers_won,Ireland,31.0
2020,total_turnovers_won,Wales,30.0
2020,total_turnovers_won,Italy,26.0
2020,england,England,41.0
2020,england,Scotland,36.0
2020,england,France,35.0
2020,england,Ireland,31.0
2020,england,Wales,30.0
2020,england,Italy,26.0
2020,attacking_catch_success,Wales,5.0
2020,attacking_catch_success,England,5.0
2020,attacking_catch_success,France,5.0
2020,attacking_catch_success,Scotland,3.0
2020,attacking_catch_success,Italy,1.0
2020,attacking_catch_success,Ireland,1.0
2020,wales,Wales,5.0
2020,wales,England,5.0
2020,wales,France,5.0
2020,wales,Scotland,3.0
2020,wales,Italy,1.0
2020,wales,Ireland,1.0
2020,successful_goals,Wales,22.0
2020,successful_goals,England,21.0
2020,successful_goals,France,21.0
2020,successful_goals,Ireland,20.0
2020,successful_goals,Scotland,15.0
2020,successful_goals,Italy,6.0
2020,wales,Wales,22.0
2020,wales,England,21.0
2020,wales,France,21.0
2020,wales,Ireland,20.0
2020,wales,Scotland,15.0
2020,wales,Italy,6.0
2020,carry_metres_made,Wales,2686.0
2020,carry_metres_made,France,2201.0
2020,carry_metres_made,Ireland,1902.0
2020,carry_metres_made,England,1690.0
2020,carry_metres_made,Scotland,1627.0
2020,carry_metres_made,Italy,1575.0
2020,wales,Wales,2686.0
2020,wales,France,2201.0
2020,wales,Ireland,1902.0
2020,wales,England,1690.0
2020,wales,Scotland,1627.0
2020,wales,Italy,1575.0
2020,post_contact_metres,Italy,517.0
2020,post_contact_metres,Scotland,481.0
2020,post_contact_metres,Ireland,477.0
2020,post_contact_metres,Wales,398.0
2020,post_contact_metres,France,282.0
2020,post_contact_metres,England,219.0
2020,italy,Italy,517.0
2020,italy,Scotland,481.0
2020,italy,Ireland,477.0
2020,italy,Wales,398.0
2020,italy,France,282.0
2020,italy,England,219.0
