year,team,final_position,grand_slam,matches_played,matches_won,matches_drawn,matches_lost,points_scored,points_conceded,points_difference,tries_scored,tries_conceded,bonus_points,table_points
2020,France,2.0,N/A,5.0,4.0,0.0,1.0,138.0,117.0,21.0,17.0,13.0,2.0,18.0
2020,Ireland,3.0,N/A,5.0,3.0,0.0,2.0,132.0,102.0,30.0,17.0,11.0,2.0,14.0
2020,Scotland,4.0,N/A,5.0,3.0,0.0,2.0,77.0,59.0,18.0,7.0,5.0,2.0,14.0
2020,Wales,5.0,N/A,5.0,1.0,0.0,4.0,119.0,98.0,21.0,13.0,11.0,4.0,8.0
2020,Italy,6.0,N/A,5.0,0.0,0.0,5.0,44.0,178.0,-134.0,6.0,25.0,0.0,0.0
2021,Wales,1.0,0,5.0,4.0,0.0,1.0,164.0,103.0,61.0,20.0,11.0,4.0,20.0
2021,France,2.0,N/A,5.0,3.0,0.0,2.0,140.0,103.0,37.0,18.0,10.0,4.0,16.0
2021,Ireland,3.0,N/A,5.0,3.0,0.0,2.0,136.0,88.0,48.0,12.0,10.0,3.0,15.0
2021,Scotland,4.0,N/A,5.0,3.0,0.0,2.0,138.0,91.0,47.0,18.0,10.0,3.0,15.0
2021,England,5.0,N/A,5.0,2.0,0.0,3.0,112.0,121.0,-9.0,12.0,11.0,2.0,10.0
2021,Italy,6.0,N/A,5.0,0.0,0.0,5.0,55.0,239.0,-184.0,6.0,34.0,0.0,0.0
2022,France,1.0,1,5.0,5.0,0.0,0.0,141.0,73.0,68.0,17.0,7.0,5.0,25.0
2022,Ireland,2.0,N/A,5.0,4.0,0.0,1.0,168.0,63.0,105.0,24.0,4.0,5.0,21.0
2022,England,3.0,N/A,5.0,2.0,0.0,3.0,101.0,96.0,5.0,8.0,12.0,2.0,10.0
2022,Scotland,4.0,N/A,5.0,2.0,0.0,3.0,92.0,121.0,-29.0,11.0,15.0,2.0,10.0
2022,Wales,5.0,N/A,5.0,1.0,0.0,4.0,76.0,104.0,-28.0,8.0,8.0,3.0,7.0
2022,Italy,6.0,N/A,5.0,1.0,0.0,4.0,60.0,181.0,-121.0,5.0,27.0,0.0,4.0
2023,Ireland,1.0,1,5.0,5.0,0.0,0.0,151.0,72.0,79.0,20.0,6.0,7.0,27.0
2023,France,2.0,N/A,5.0,4.0,0.0,1.0,174.0,115.0,59.0,21.0,14.0,4.0,20.0
2023,Scotland,3.0,N/A,5.0,3.0,0.0,2.0,118.0,98.0,20.0,17.0,12.0,3.0,15.0
2023,England,4.0,N/A,5.0,2.0,0.0,3.0,100.0,135.0,-35.0,13.0,18.0,2.0,10.0
2023,Wales,5.0,N/A,5.0,1.0,0.0,4.0,84.0,147.0,-63.0,11.0,19.0,2.0,6.0
2023,Italy,6.0,N/A,5.0,0.0,0.0,5.0,89.0,149.0,-60.0,9.0,22.0,1.0,1.0
2024,Ireland,1.0,0,5.0,4.0,0.0,1.0,144.0,60.0,84.0,19.0,7.0,4.0,20.0
2024,France,2.0,N/A,5.0,3.0,1.0,1.0,128.0,122.0,6.0,13.0,14.0,1.0,15.0
2024,England,3.0,N/A,5.0,3.0,0.0,2.0,118.0,123.0,-5.0,13.0,13.0,2.0,14.0
2024,Scotland,4.0,N/A,5.0,2.0,0.0,3.0,115.0,115.0,0.0,12.0,13.0,4.0,12.0
2024,Italy,5.0,N/A,5.0,2.0,1.0,2.0,92.0,126.0,-34.0,9.0,16.0,1.0,11.0
2024,Wales,6.0,N/A,5.0,0.0,0.0,5.0,92.0,143.0,-51.0,13.0,16.0,4.0,4.0
2025,France,1.0,0,5.0,4.0,0.0,1.0,218.0,93.0,125.0,30.0,11.0,5.0,21.0
2025,England,2.0,N/A,5.0,4.0,0.0,1.0,179.0,105.0,74.0,25.0,15.0,4.0,20.0
2025,Ireland,3.0,N/A,5.0,4.0,0.0,1.0,135.0,117.0,18.0,17.0,14.0,3.0,19.0
2025,Scotland,4.0,N/A,5.0,2.0,0.0,3.0,115.0,131.0,-16.0,16.0,14.0,3.0,11.0
2025,Italy,5.0,N/A,5.0,1.0,0.0,4.0,106.0,188.0,-82.0,10.0,29.0,1.0,5.0
2025,Wales,6.0,N/A,5.0,0.0,0.0,5.0,76.0,195.0,-119.0,10.0,25.0,3.0,3.0
2026,France,1.0,0,5.0,4.0,0.0,1.0,211.0,130.0,81.0,30.0,19.0,5.0,21.0
2026,Ireland,2.0,N/A,5.0,4.0,0.0,1.0,146.0,108.0,38.0,20.0,14.0,3.0,19.0
2026,Scotland,3.0,N/A,5.0,3.0,0.0,2.0,143.0,144.0,-1.0,20.0,18.0,4.0,16.0
2026,Italy,4.0,N/A,5.0,2.0,0.0,3.0,79.0,117.0,-38.0,9.0,16.0,1.0,9.0
2026,England,5.0,N/A,5.0,1.0,0.0,4.0,153.0,151.0,2.0,21.0,18.0,4.0,8.0
2026,Wales,6.0,N/A,5.0,1.0,0.0,4.0,90.0,172.0,-82.0,11.0,26.0,2.0,6.0
